institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1971,1971-08,8,9.54175872081684,11.116128378796006,0.7748322059602997,-1.5743696579791653
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1972,1972-09,9,10.416258074297874,11.116128378796006,0.7748322059602997,-0.6998703044981323
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1973,1973-08,8,9.738877311887784,11.116128378796006,0.7748322059602997,-1.3772510669082223
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1974,1974-08,8,9.912201388709638,11.116128378796006,0.7748322059602997,-1.2039269900863676
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1975,1975-09,9,11.298191291478988,11.116128378796006,0.7748322059602997,0.1820629126829818
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1976,1976-08,8,10.063474305108874,11.116128378796006,0.7748322059602997,-1.0526540736871317
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1977,1977-08,8,11.299713548648649,11.116128378796006,0.7748322059602997,0.1835851698526411
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1978,1978-08,8,10.84536996225658,11.116128378796006,0.7748322059602997,-0.2707584165394259
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1979,1979-09,9,11.350389831300769,11.116128378796006,0.7748322059602997,0.2342614525047608
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1980,1980-08,8,11.348394457749912,11.116128378796006,0.7748322059602997,0.2322660789539057
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1981,1981-08,8,10.123882500897448,11.116128378796006,0.7748322059602997,-0.992245877898558
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1982,1982-08,8,9.44005175311063,11.116128378796006,0.7748322059602997,-1.6760766256853756
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1983,1983-09,9,11.269816935799993,11.116128378796006,0.7748322059602997,0.1536885570039867
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1984,1984-08,8,9.85416370289739,11.116128378796006,0.7748322059602997,-1.261964675898616
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1985,1985-08,8,9.15721279793716,11.116128378796006,0.7748322059602997,-1.9589155808588463
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1986,1986-08,8,8.973651256860384,11.116128378796006,0.7748322059602997,-2.142477121935622
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1987,1987-08,8,8.004954383612093,11.116128378796006,0.7748322059602997,-3.111173995183913
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1988,1988-08,8,9.452210400979965,11.116128378796006,0.7748322059602997,-1.663917977816043
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1989,1989-08,8,9.352665329102669,11.116128378796006,0.7748322059602997,-1.763463049693339
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1990,1990-08,8,7.874842955795891,11.116128378796006,0.7748322059602997,-3.2412854230001145
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1991,1991-08,8,8.632558290190904,11.116128378796006,0.7748322059602997,-2.483570088605102
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1992,1992-08,8,8.87059328314909,11.116128378796006,0.7748322059602997,-2.2455350956469164
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1993,1993-08,8,8.71339124276473,11.116128378796006,0.7748322059602997,-2.4027371360312757
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1994,1994-08,8,9.41714326505419,11.116128378796006,0.7748322059602997,-1.6989851137418164
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1995,1995-08,8,7.701207027486541,11.116128378796006,0.7748322059602997,-3.4149213513094647
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1996,1996-08,8,10.015043995442046,11.116128378796006,0.7748322059602997,-1.1010843833539603
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1997,1997-08,8,7.77050231643604,11.116128378796006,0.7748322059602997,-3.3456260623599663
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1998,1998-08,8,7.730504433826324,11.116128378796006,0.7748322059602997,-3.385623944969682
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,1999,1999-08,8,7.604205838308676,11.116128378796006,0.7748322059602997,-3.5119225404873298
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2000,2000-09,9,9.03705060005218,11.116128378796006,0.7748322059602997,-2.079077778743825
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2001,2001-08,8,7.694745403173683,11.116128378796006,0.7748322059602997,-3.421382975622323
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2002,2002-08,8,7.486876202576229,11.116128378796006,0.7748322059602997,-3.6292521762197767
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2003,2003-08,8,7.7616572732716,11.116128378796006,0.7748322059602997,-3.3544711055244054
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2004,2004-09,9,7.657566119121794,11.116128378796006,0.7748322059602997,-3.458562259674212
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2005,2005-08,8,7.592505745528431,11.116128378796006,0.7748322059602997,-3.523622633267575
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2006,2006-08,8,6.9149355683021625,11.116128378796006,0.7748322059602997,-4.201192810493843
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2007,2007-08,8,7.758808215259161,11.116128378796006,0.7748322059602997,-3.357320163536845
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2008,2008-08,8,7.602705086581583,11.116128378796006,0.7748322059602997,-3.513423292214423
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2009,2009-08,8,6.270842366578895,11.116128378796006,0.7748322059602997,-4.845286012217111
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2010,2010-08,8,6.0595780776841845,11.116128378796006,0.7748322059602997,-5.056550301111821
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2011,2011-08,8,6.0102390694175485,11.116128378796006,0.7748322059602997,-5.105889309378457
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2012,2012-08,8,5.676785875338628,11.116128378796006,0.7748322059602997,-5.439342503457378
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2013,2013-09,9,5.306744649374885,11.116128378796006,0.7748322059602997,-5.809383729421121
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,historical,2014,2014-08,8,7.08184531174774,11.116128378796006,0.7748322059602997,-4.034283067048266
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1850,1850-09,9,6.599225211947612,6.165153137475594,0.4513200948014185,0.4340720744720183
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1851,1851-09,9,6.940339557267203,6.165153137475594,0.4513200948014185,0.7751864197916092
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1852,1852-09,9,6.747031322419276,6.165153137475594,0.4513200948014185,0.5818781849436823
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1853,1853-09,9,6.518047082137064,6.165153137475594,0.4513200948014185,0.3528939446614707
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1854,1854-09,9,6.7395253936828645,6.165153137475594,0.4513200948014185,0.5743722562072708
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1855,1855-09,9,6.5731833253470136,6.165153137475594,0.4513200948014185,0.4080301878714198
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1856,1856-09,9,6.1029428006266855,6.165153137475594,0.4513200948014185,-0.0622103368489082
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1857,1857-09,9,6.039651179786914,6.165153137475594,0.4513200948014185,-0.1255019576886793
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1858,1858-09,9,6.63799548211969,6.165153137475594,0.4513200948014185,0.4728423446440963
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1859,1859-09,9,6.120175487235998,6.165153137475594,0.4513200948014185,-0.0449776502395957
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1860,1860-09,9,6.171647567165183,6.165153137475594,0.4513200948014185,0.0064944296895887
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1861,1861-09,9,5.688369418076124,6.165153137475594,0.4513200948014185,-0.4767837193994699
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1862,1862-08,8,6.552816792202129,6.165153137475594,0.4513200948014185,0.3876636547265351
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1863,1863-09,9,5.806824211395297,6.165153137475594,0.4513200948014185,-0.3583289260802971
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1864,1864-09,9,5.324782980739754,6.165153137475594,0.4513200948014185,-0.8403701567358395
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1865,1865-09,9,5.4445033775845015,6.165153137475594,0.4513200948014185,-0.7206497598910921
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1866,1866-09,9,5.661167711269256,6.165153137475594,0.4513200948014185,-0.5039854262063379
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1867,1867-09,9,4.98240299223839,6.165153137475594,0.4513200948014185,-1.182750145237204
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1868,1868-09,9,5.309877330313583,6.165153137475594,0.4513200948014185,-0.8552758071620108
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1869,1869-09,9,5.515496122931103,6.165153137475594,0.4513200948014185,-0.6496570145444904
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1870,1870-09,9,5.463265674610158,6.165153137475594,0.4513200948014185,-0.7018874628654359
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1871,1871-09,9,6.6208741106070645,6.165153137475594,0.4513200948014185,0.4557209731314708
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1872,1872-09,9,5.955318823377666,6.165153137475594,0.4513200948014185,-0.2098343140979279
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1873,1873-09,9,6.147162655684372,6.165153137475594,0.4513200948014185,-0.0179904817912222
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1874,1874-09,9,5.639884593883739,6.165153137475594,0.4513200948014185,-0.5252685435918547
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1875,1875-09,9,4.716408125638241,6.165153137475594,0.4513200948014185,-1.448745011837353
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1876,1876-09,9,5.393378508044611,6.165153137475594,0.4513200948014185,-0.7717746294309826
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1877,1877-09,9,5.201778954828841,6.165153137475594,0.4513200948014185,-0.9633741826467528
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1878,1878-09,9,5.960237822911537,6.165153137475594,0.4513200948014185,-0.2049153145640563
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1879,1879-09,9,6.020409335893815,6.165153137475594,0.4513200948014185,-0.1447438015817788
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1880,1880-09,9,5.950786314330849,6.165153137475594,0.4513200948014185,-0.2143668231447444
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1881,1881-09,9,5.560598653295984,6.165153137475594,0.4513200948014185,-0.6045544841796096
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1882,1882-09,9,6.163170727460877,6.165153137475594,0.4513200948014185,-0.0019824100147163
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1883,1883-09,9,6.420696727406927,6.165153137475594,0.4513200948014185,0.2555435899313334
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1884,1884-09,9,6.212246583699382,6.165153137475594,0.4513200948014185,0.0470934462237879
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1885,1885-09,9,6.206877429697808,6.165153137475594,0.4513200948014185,0.0417242922222147
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1886,1886-09,9,6.148349144254114,6.165153137475594,0.4513200948014185,-0.0168039932214796
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1887,1887-09,9,6.114128677851679,6.165153137475594,0.4513200948014185,-0.0510244596239148
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1888,1888-09,9,6.211961956130543,6.165153137475594,0.4513200948014185,0.0468088186549495
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1889,1889-09,9,5.969659380020584,6.165153137475594,0.4513200948014185,-0.1954937574550097
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1890,1890-09,9,6.261228386923583,6.165153137475594,0.4513200948014185,0.0960752494479892
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1891,1891-09,9,6.641184461253539,6.165153137475594,0.4513200948014185,0.4760313237779456
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1892,1892-09,9,6.349904684523643,6.165153137475594,0.4513200948014185,0.1847515470480489
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1893,1893-09,9,5.8645347698070855,6.165153137475594,0.4513200948014185,-0.3006183676685081
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1894,1894-09,9,5.008007014232522,6.165153137475594,0.4513200948014185,-1.1571461232430718
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1895,1895-09,9,5.364902539956744,6.165153137475594,0.4513200948014185,-0.8002505975188496
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1896,1896-09,9,5.58209721144314,6.165153137475594,0.4513200948014185,-0.5830559260324533
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1897,1897-09,9,5.852854943971577,6.165153137475594,0.4513200948014185,-0.3122981935040165
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1898,1898-09,9,5.829097789817057,6.165153137475594,0.4513200948014185,-0.3360553476585366
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1899,1899-09,9,5.808996823783378,6.165153137475594,0.4513200948014185,-0.3561563136922157
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1900,1900-09,9,5.557806389216348,6.165153137475594,0.4513200948014185,-0.6073467482592454
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1901,1901-09,9,5.739530642270402,6.165153137475594,0.4513200948014185,-0.4256224952051912
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1902,1902-09,9,4.811947398861315,6.165153137475594,0.4513200948014185,-1.353205738614279
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1903,1903-09,9,5.504657574723307,6.165153137475594,0.4513200948014185,-0.6604955627522866
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1904,1904-09,9,5.9949503239848285,6.165153137475594,0.4513200948014185,-0.1702028134907651
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1905,1905-09,9,5.447059575464376,6.165153137475594,0.4513200948014185,-0.7180935620112177
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1906,1906-09,9,5.258936888254354,6.165153137475594,0.4513200948014185,-0.9062162492212398
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1907,1907-09,9,5.791801679084276,6.165153137475594,0.4513200948014185,-0.3733514583913173
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1908,1908-09,9,5.581565725750648,6.165153137475594,0.4513200948014185,-0.5835874117249453
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1909,1909-09,9,5.940827399726978,6.165153137475594,0.4513200948014185,-0.2243257377486154
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1910,1910-09,9,6.086608552740083,6.165153137475594,0.4513200948014185,-0.0785445847355106
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1911,1911-09,9,6.841590395082245,6.165153137475594,0.4513200948014185,0.6764372576066515
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1912,1912-09,9,6.560673189037461,6.165153137475594,0.4513200948014185,0.3955200515618671
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1913,1913-09,9,6.695201804359801,6.165153137475594,0.4513200948014185,0.5300486668842073
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1914,1914-09,9,5.727758105333832,6.165153137475594,0.4513200948014185,-0.4373950321417617
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1915,1915-09,9,6.072230046233785,6.165153137475594,0.4513200948014185,-0.0929230912418086
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1916,1916-09,9,5.693082206658708,6.165153137475594,0.4513200948014185,-0.4720709308168862
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1917,1917-09,9,5.408586634030599,6.165153137475594,0.4513200948014185,-0.7565665034449944
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1918,1918-09,9,5.494108890791934,6.165153137475594,0.4513200948014185,-0.6710442466836595
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1919,1919-09,9,5.828352723556024,6.165153137475594,0.4513200948014185,-0.3368004139195699
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1920,1920-09,9,5.327051677327998,6.165153137475594,0.4513200948014185,-0.8381014601475956
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1921,1921-09,9,5.2974797315355255,6.165153137475594,0.4513200948014185,-0.8676734059400681
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1922,1922-09,9,4.968228035957435,6.165153137475594,0.4513200948014185,-1.1969251015181586
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1923,1923-09,9,5.082600466192615,6.165153137475594,0.4513200948014185,-1.0825526712829785
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1924,1924-09,9,5.584558105114537,6.165153137475594,0.4513200948014185,-0.5805950323610567
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1925,1925-09,9,5.510841202532777,6.165153137475594,0.4513200948014185,-0.6543119349428164
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1926,1926-09,9,4.984061206473994,6.165153137475594,0.4513200948014185,-1.1810919310015997
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1927,1927-09,9,4.985151718297273,6.165153137475594,0.4513200948014185,-1.1800014191783204
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1928,1928-09,9,4.895049650910457,6.165153137475594,0.4513200948014185,-1.2701034865651364
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1929,1929-09,9,6.129748954108301,6.165153137475594,0.4513200948014185,-0.0354041833672926
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1930,1930-09,9,5.58875067611987,6.165153137475594,0.4513200948014185,-0.5764024613557233
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1931,1931-09,9,6.133609451040777,6.165153137475594,0.4513200948014185,-0.0315436864348166
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1932,1932-09,9,6.270333220857702,6.165153137475594,0.4513200948014185,0.1051800833821081
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1933,1933-09,9,6.164029252218528,6.165153137475594,0.4513200948014185,-0.0011238852570656
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1934,1934-09,9,6.0085586633521935,6.165153137475594,0.4513200948014185,-0.1565944741234002
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1935,1935-09,9,5.5504553269580565,6.165153137475594,0.4513200948014185,-0.6146978105175371
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1936,1936-09,9,5.580500281240143,6.165153137475594,0.4513200948014185,-0.5846528562354507
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1937,1937-09,9,5.646942323371468,6.165153137475594,0.4513200948014185,-0.5182108141041253
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1938,1938-09,9,5.762810615900973,6.165153137475594,0.4513200948014185,-0.4023425215746208
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1939,1939-09,9,5.792947298509328,6.165153137475594,0.4513200948014185,-0.3722058389662654
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1940,1940-09,9,5.482626952102998,6.165153137475594,0.4513200948014185,-0.6825261853725957
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1941,1941-09,9,5.82543951597115,6.165153137475594,0.4513200948014185,-0.339713621504444
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1942,1942-09,9,5.76085590873415,6.165153137475594,0.4513200948014185,-0.4042972287414432
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1943,1943-09,9,5.9275504437564965,6.165153137475594,0.4513200948014185,-0.2376026937190971
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1944,1944-09,9,6.419788611224093,6.165153137475594,0.4513200948014185,0.2546354737484995
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1945,1945-09,9,5.378231204961098,6.165153137475594,0.4513200948014185,-0.7869219325144954
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1946,1946-09,9,4.813056156566041,6.165153137475594,0.4513200948014185,-1.352096980909553
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1947,1947-09,9,5.479740991650607,6.165153137475594,0.4513200948014185,-0.6854121458249871
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1948,1948-09,9,5.153671509494069,6.165153137475594,0.4513200948014185,-1.0114816279815244
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1949,1949-09,9,5.835178983136394,6.165153137475594,0.4513200948014185,-0.3299741543392001
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1950,1950-09,9,6.386226930344328,6.165153137475594,0.4513200948014185,0.2210737928687338
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1951,1951-09,9,5.581554478485471,6.165153137475594,0.4513200948014185,-0.5835986589901232
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1952,1952-09,9,5.3243066091287,6.165153137475594,0.4513200948014185,-0.8408465283468942
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1953,1953-09,9,5.700173240855225,6.165153137475594,0.4513200948014185,-0.4649798966203686
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1954,1954-09,9,5.603703950451051,6.165153137475594,0.4513200948014185,-0.561449187024543
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1955,1955-09,9,5.943362535642078,6.165153137475594,0.4513200948014185,-0.2217906018335158
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1956,1956-09,9,5.26449460659744,6.165153137475594,0.4513200948014185,-0.9006585308781538
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1957,1957-09,9,5.206011454152201,6.165153137475594,0.4513200948014185,-0.9591416833233924
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1958,1958-09,9,5.276294628475258,6.165153137475594,0.4513200948014185,-0.888858509000336
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1959,1959-09,9,5.775215635536715,6.165153137475594,0.4513200948014185,-0.3899375019388786
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1960,1960-09,9,6.098165337892668,6.165153137475594,0.4513200948014185,-0.0669877995829253
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1961,1961-09,9,6.308923079069388,6.165153137475594,0.4513200948014185,0.1437699415937938
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1962,1962-09,9,6.342921541707933,6.165153137475594,0.4513200948014185,0.1777684042323395
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1963,1963-09,9,6.256956064286788,6.165153137475594,0.4513200948014185,0.0918029268111944
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1964,1964-09,9,6.69162339058432,6.165153137475594,0.4513200948014185,0.5264702531087266
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1965,1965-08,8,7.083319512377412,6.165153137475594,0.4513200948014185,0.9181663749018184
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1966,1966-09,9,6.842842733131597,6.165153137475594,0.4513200948014185,0.6776895956560036
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1967,1967-09,9,6.735717363245198,6.165153137475594,0.4513200948014185,0.570564225769604
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1968,1968-09,9,6.886422962472744,6.165153137475594,0.4513200948014185,0.7212698249971501
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1969,1969-09,9,6.67405276218306,6.165153137475594,0.4513200948014185,0.5088996247074666
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1970,1970-09,9,5.945744732834885,6.165153137475594,0.4513200948014185,-0.219408404640709
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1971,1971-09,9,6.099347083188071,6.165153137475594,0.4513200948014185,-0.0658060542875231
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1972,1972-09,9,6.494705709526595,6.165153137475594,0.4513200948014185,0.3295525720510017
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1973,1973-09,9,6.528831892518291,6.165153137475594,0.4513200948014185,0.363678755042697
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1974,1974-09,9,6.224501646582602,6.165153137475594,0.4513200948014185,0.059348509107008
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1975,1975-09,9,6.413057423591658,6.165153137475594,0.4513200948014185,0.2479042861160643
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1976,1976-09,9,6.899147433656168,6.165153137475594,0.4513200948014185,0.7339942961805743
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1977,1977-09,9,6.4392994042240215,6.165153137475594,0.4513200948014185,0.2741462667484278
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1978,1978-09,9,6.86964748955463,6.165153137475594,0.4513200948014185,0.7044943520790365
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1979,1979-09,9,6.90266613917564,6.165153137475594,0.4513200948014185,0.7375130017000462
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1980,1980-09,9,6.491457377042233,6.165153137475594,0.4513200948014185,0.3263042395666389
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1981,1981-09,9,6.186668031346132,6.165153137475594,0.4513200948014185,0.0215148938705382
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1982,1982-09,9,6.283065761264684,6.165153137475594,0.4513200948014185,0.1179126237890901
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1983,1983-09,9,5.815331243825269,6.165153137475594,0.4513200948014185,-0.3498218936503248
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1984,1984-09,9,5.287286764335775,6.165153137475594,0.4513200948014185,-0.8778663731398186
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1985,1985-09,9,5.063386442787688,6.165153137475594,0.4513200948014185,-1.101766694687906
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1986,1986-09,9,4.597048788140049,6.165153137475594,0.4513200948014185,-1.5681043493355444
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1987,1987-09,9,5.262509036828111,6.165153137475594,0.4513200948014185,-0.9026441006474828
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1988,1988-09,9,4.4653680237880105,6.165153137475594,0.4513200948014185,-1.6997851136875832
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1989,1989-09,9,5.029691771526911,6.165153137475594,0.4513200948014185,-1.1354613659486832
NCAR,CESM2-FV2,r1i1p1f1,gn,historical,1990,1990-09,9,5.442066422494598,6.165153137475594,0.4513200948014185,-0.7230867149809956
